Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012
1,"team904 北京大学",11,14:29:43,"00:26:11 (-1)","01:40:02 (-1)",00:42:17,,"03:41:18 (-2)",00:15:19,00:06:50,01:03:57,"02:26:47 (-1)",00:10:29,00:33:42,"01:22:51 (-1)"
2,"team901 北京大学",11,18:06:15,00:47:02,03:02:45,01:29:23,03:07:20,,00:42:28,00:15:19,00:31:50,"03:48:22 (-1)","00:16:49 (-1)",00:53:26,02:31:31
3,"team902 北京大学",11,23:17:35,00:33:02,"03:18:27 (-3)","04:07:59 (-2)","02:22:59 (-1)",,00:21:13,00:23:54,01:27:38,"03:36:29 (-5)",00:15:04,00:48:03,02:22:47
4,"team1029 金陵中学河西分校",9,10:22:50,00:40:16,03:15:05,00:55:33,,,00:41:25,00:18:51,01:18:41,,00:12:56,"00:21:17 (-1)",02:18:46
5,"team102 南京外国语学校",9,11:22:00,"00:38:08 (-2)","02:14:19 (-1)","01:43:10 (-1)",,,00:10:01,00:05:11,"00:45:01 (-1)",,00:09:39,"00:54:09 (-1)","01:22:22 (-4)"
6,"team112 南京外国语学校",9,12:21:11,"00:48:22 (-4)","01:05:02 (-4)","02:31:04 (-3)",,,00:22:22,"00:13:40 (-1)","01:57:09 (-2)",(-4),00:09:15,00:21:14,00:13:03
7,"team294 南方科技大学",9,13:03:40,"00:58:38 (-1)",03:03:18,02:21:06,,,00:30:11,00:12:02,02:20:46,,00:15:24,00:40:07,"01:42:08 (-2)"
8,"team104 南京外国语学校",9,13:04:15,00:35:56,03:09:41,(-1),02:32:42,,00:27:04,00:07:34,"02:42:14 (-1)",(-4),"00:20:10 (-2)",00:48:50,01:20:04
9,"team956 杭州第二中学",9,14:06:38,"00:55:59 (-2)","03:06:36 (-1)",01:11:37,,,00:35:13,"00:26:03 (-1)","02:24:28 (-3)",,"00:29:11 (-1)","00:20:26 (-1)",01:37:05
10,"team951 杭州第二中学",9,14:31:28,"01:38:33 (-2)",02:56:47,"02:02:42 (-1)",(-4),,00:57:37,00:08:45,"02:31:19 (-1)",,00:14:16,01:12:44,"00:48:45 (-2)"
11,"team408 厦门双十中学",9,14:38:01,"00:29:37 (-1)","02:53:30 (-6)",01:33:35,,,00:21:12,"00:12:59 (-2)","01:38:16 (-2)",,"00:07:37 (-1)",00:43:55,"02:17:20 (-1)"
12,"team413 武汉大学",9,14:41:42,01:05:51,03:31:45,00:42:11,,,00:41:25,"00:23:03 (-2)",01:37:36,,"00:10:49 (-1)","00:55:12 (-6)",02:33:50
13,"team540 北京交通大学",9,15:23:14,"01:17:58 (-2)","03:03:00 (-2)",01:39:42,,,00:31:37,00:21:33,02:30:11,,"00:13:08 (-1)","01:11:22 (-3)",01:54:43
14,"team260 北京理工大学",9,15:37:53,"00:59:09 (-2)","03:27:46 (-1)",01:41:17,,,00:23:11,00:12:40,"02:56:19 (-1)",,"00:19:00 (-1)",00:57:36,"02:40:55 (-1)"
15,"team367 长沙市雅礼中学",9,17:02:41,01:19:35,"02:21:03 (-1)","02:30:36 (-1)",,,"01:10:46 (-3)","00:14:29 (-1)","02:11:26 (-1)",(-3),"00:42:42 (-4)",00:47:31,"01:24:33 (-2)"
16,"team684 南京大学",9,17:28:33,00:44:14,"02:25:18 (-1)",01:40:40,,,"00:26:32 (-1)",00:10:47,01:38:26,,00:04:33,"02:51:23 (-18)",00:46:40
17,"team106 南京外国语学校",9,17:55:58,"01:41:45 (-4)",03:48:00,02:48:34,,,00:25:37,00:18:27,"01:37:10 (-2)",,00:08:35,01:21:57,"03:05:53 (-2)"
18,"team954 杭州第二中学",9,19:35:39,"00:40:50 (-1)","04:07:54 (-2)","02:52:14 (-1)",,,01:04:48,00:11:47,"03:10:08 (-3)",,"00:15:24 (-1)","00:54:21 (-2)","02:18:13 (-2)"
19,"team953 杭州第二中学",9,21:18:10,"00:32:08 (-3)","03:23:25 (-4)",01:46:53,,,00:24:12,"00:12:53 (-1)",02:43:55,(-2),"00:32:40 (-2)","01:27:11 (-7)","01:54:53 (-8)"
20,"team804 哈尔滨工业大学",8,11:19:36,"00:38:50 (-1)","03:05:16 (-2)",00:44:17,,,00:15:05,"00:37:28 (-2)","01:51:11 (-2)",,"00:17:14 (-1)",01:10:15,(-1)
21,"team293 南方科技大学",8,12:00:50,"00:32:31 (-2)",,01:43:20,,,01:01:43,00:10:32,"02:31:26 (-1)",,00:14:11,00:52:24,"02:14:43 (-5)"
22,"team551 清华大学",8,12:21:45,"02:05:51 (-1)",03:10:05,"03:05:37 (-1)",,,00:33:17,00:12:24,01:47:01,,00:08:01,00:39:29,(-1)
